Agent vs Agent: same alpha-beta algo, depth = 3 -> 2 agents stuck although there were so much pieces in the board

[17:53:09] White Agent: Alpha-Beta (depth 3)
[17:53:09] Black Agent: Alpha-Beta (depth 3)
[17:54:03] Agent Black selected move e6-f4 (thinking time: 0.07s)
[17:54:04] Agent White selected move h5-g5 (thinking time: 0.03s)
[17:54:04] Agent Black selected move f4-e6 (thinking time: 0.07s)
[17:54:05] Agent White selected move g5-h5 (thinking time: 0.02s)
[17:54:06] Agent Black selected move e6-f4 (thinking time: 0.07s)
[17:54:06] Agent White selected move h5-g5 (thinking time: 0.03s)
[17:54:07] Agent Black selected move f4-e6 (thinking time: 0.08s)
[17:54:07] Agent White selected move g5-h5 (thinking time: 0.03s)
[17:54:08] Agent Black selected move e6-f4 (thinking time: 0.08s)
[17:54:09] Agent White selected move h5-g5 (thinking time: 0.03s)
[17:54:09] Agent Black selected move f4-e6 (thinking time: 0.08s)
[17:54:10] Agent White selected move g5-h5 (thinking time: 0.02s)
[17:54:10] Agent Black selected move e6-f4 (thinking time: 0.08s)
[17:54:11] Agent White selected move h5-g5 (thinking time: 0.03s)
[17:54:12] Agent Black selected move f4-e6 (thinking time: 0.08s)
[17:54:12] Agent White selected move g5-h5 (thinking time: 0.03s)
[17:54:13] Agent Black selected move e6-f4 (thinking time: 0.07s)
[17:54:13] Agent White selected move h5-g5 (thinking time: 0.02s)
[17:54:14] Agent Black selected move f4-e6 (thinking time: 0.09s)
[17:54:15] Agent White selected move g5-h5 (thinking time: 0.03s)
[17:54:15] Agent Black selected move e6-f4 (thinking time: 0.06s)
[17:54:16] Agent White selected move h5-g5 (thinking time: 0.02s)
[17:54:16] Fifty-move rule! The game is a draw.
[17:54:26] The game has been reset.
